Postcode,Long,Lat,SA3,SA4,SA1,SA2,0–4,5–11,12–15,16–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total
822,131.48274,-13.81785615,70205,702,70203105808,702031058,,,,,,,,,,,,,,,,,,,
822,130.9027533,-12.48005564,70205,702,70102101701,701021017,,,,,,,,,,,,,,,,,,,
822,136.4330338,-12.44602304,70205,702,70204106316,702041063,,,,,,,,,,,,,,,,,,,
822,130.940905,-12.48861681,70205,702,70102101701,701021017,,,,,,,,,,,,,,,,,,,
822,131.0031474,-13.12725377,70205,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
822,130.9517827,-13.06448685,70205,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
822,131.0700157,-12.79587253,70205,702,70103103514,701031035,,,,,,,,,,,,,,,,,,,
822,131.0515258,-12.53862952,70205,702,70103103405,701031034,,,,,,,,,,,,,,,,,,,
822,135.5864427,-12.00777086,70205,702,70204106307,702041063,,,,,,,,,,,,,,,,,,,
822,131.0799794,-12.17971082,70205,702,70103103301,701031033,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203106107,702031061,,,,,,,,,,,,,,,,,,,
822,133.4548484,-11.4973068,70205,702,70203106107,702031061,,,,,,,,,,,,,,,,,,,
822,133.0492311,-12.34692447,70205,702,70203106101,702031061,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70103103301,701031033,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203105808,702031058,,,,,,,,,,,,,,,,,,,
822,130.9036719,-12.45024526,70205,702,70102101501,701021015,,,,,,,,,,,,,,,,,,,
822,131.4058522,-12.34404225,70205,702,70203105716,702031057,,,,,,,,,,,,,,,,,,,
822,131.1007772,-12.68638471,70205,702,70103103507,701031035,,,,,,,,,,,,,,,,,,,
822,132.4751149,-12.8662473,70205,702,70203105717,702031057,,,,,,,,,,,,,,,,,,,
822,131.2102168,-12.37090569,70205,702,70103103301,701031033,,,,,,,,,,,,,,,,,,,
822,131.1944707,-12.93083352,70205,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70103103508,701031035,,,,,,,,,,,,,,,,,,,
822,130.8462398,-13.25317338,70205,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70103103511,701031035,,,,,,,,,,,,,,,,,,,
822,131.1457668,-12.66634037,70205,702,70103103507,701031035,,,,,,,,,,,,,,,,,,,
822,130.7615787,-12.44295777,70205,702,70203105703,702031057,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203106103,702031061,,,,,,,,,,,,,,,,,,,
822,130.7085705,-13.70834554,70205,702,70203105807,702031058,,,,,,,,,,,,,,,,,,,
822,131.3574052,-13.19932137,70205,702,70203105716,702031057,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70103103217,701031032,,,,,,,,,,,,,,,,,,,
822,130.951697,-12.379529,70205,702,70103103301,701031033,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70103103508,701031035,,,,,,,,,,,,,,,,,,,
822,134.9172943,-12.10344037,70205,702,70204106301,702041063,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70204106204,702041062,,,,,,,,,,,,,,,,,,,
822,136.202001,-13.77934879,70205,702,70204106201,702041062,,,,,,,,,,,,,,,,,,,
822,132.5724813,-11.14470594,70205,702,70203106102,702031061,,,,,,,,,,,,,,,,,,,
822,131.751956,-13.02955913,70205,702,70203105716,702031057,,,,,,,,,,,,,,,,,,,
822,131.0779057,-12.29096291,70205,702,70103103301,701031033,,,,,,,,,,,,,,,,,,,
822,130.7310542,-13.72157548,70205,702,70203105801,702031058,,,,,,,,,,,,,,,,,,,
822,130.4543865,-14.62289167,70205,702,70203105806,702031058,,,,,,,,,,,,,,,,,,,
822,129.8834932,-14.33497868,70205,702,70203105804,702031058,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203106003,702031060,,,,,,,,,,,,,,,,,,,
822,135.727696,-14.28113146,70205,702,70205106604,702051066,,,,,,,,,,,,,,,,,,,
822,135.7946389,-13.95994028,70205,702,70205106610,702051066,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203106101,702031061,,,,,,,,,,,,,,,,,,,
822,130.082796,-14.1456977,70205,702,70203105805,702031058,,,,,,,,,,,,,,,,,,,
822,130.4214678,-11.39026066,70205,702,70203106004,702031060,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70204106204,702041062,,,,,,,,,,,,,,,,,,,
822,131.8321645,-12.54034189,70205,702,70203105716,702031057,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203106004,702031060,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203105804,702031058,,,,,,,,,,,,,,,,,,,
822,130.3707089,-13.05159634,70205,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
822,134.9259152,-12.32899612,70205,702,70204106309,702041063,,,,,,,,,,,,,,,,,,,
822,131.1214742,-13.38650542,70205,702,70203105716,702031057,,,,,,,,,,,,,,,,,,,
822,131.0198663,-12.99988524,70205,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
822,133.3848319,-12.9305044,70205,702,70203105708,702031057,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70103103502,701031035,,,,,,,,,,,,,,,,,,,
822,131.0258358,-13.18414806,70205,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
822,129.6399677,-14.20132457,70205,702,70203105902,702031059,,,,,,,,,,,,,,,,,,,
822,130.619275,-14.03882235,70205,702,70203105807,702031058,,,,,,,,,,,,,,,,,,,
822,130.9502272,-12.46528731,70205,702,70102101701,701021017,,,,,,,,,,,,,,,,,,,
822,131.1875059,-11.51399925,70205,702,70203106002,702031060,,,,,,,,,,,,,,,,,,,
822,131.1778852,-13.08686447,70205,702,70203105711,702031057,,,,,,,,,,,,,,,,,,,
822,130.9609622,-12.75687265,70205,702,70103103502,701031035,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70204106203,702041062,,,,,,,,,,,,,,,,,,,
822,131.0936969,-12.05953061,70205,702,70103103301,701031033,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70103103407,701031034,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203105901,702031059,,,,,,,,,,,,,,,,,,,
822,136.947051,-13.643283,70205,702,70203105703,702031057,,,,,,,,,,,,,,,,,,,
